PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Survived_texto
28,0,1,"Fortune, Mr. Charles Alexander",Hombre,19.0,3,2,263.0,Southampton,1,No sobrevivió
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",Mujer,21.5,0,0,7.8792,Queenstown,0,Sobrevivió
30,0,3,"Todoroff, Mr. Lalio",Hombre,25.0,0,0,7.8958,Southampton,0,No sobrevivió
31,0,1,"Uruchurtu, Don. Manuel E",Hombre,40.0,0,0,27.7208,Cherbourg,0,No sobrevivió
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mujer,35.0,1,0,146.5208,Cherbourg,1,Sobrevivió
33,1,3,"Glynn, Miss. Mary Agatha",Mujer,21.5,0,0,7.75,Queenstown,0,Sobrevivió
34,0,2,"Wheadon, Mr. Edward H",Hombre,66.0,0,0,10.5,Southampton,0,No sobrevivió
35,0,1,"Meyer, Mr. Edgar Joseph",Hombre,28.0,1,0,82.1708,Cherbourg,0,No sobrevivió
36,0,1,"Holverson, Mr. Alexander Oskar",Hombre,42.0,1,0,52.0,Southampton,0,No sobrevivió
37,1,3,"Mamee, Mr. Hanna",Hombre,25.0,0,0,7.2292,Cherbourg,0,Sobrevivió
38,0,3,"Cann, Mr. Ernest Charles",Hombre,21.0,0,0,8.05,Southampton,0,No sobrevivió
39,0,3,"Vander Planke, Miss. Augusta Maria",Mujer,18.0,2,0,18.0,Southampton,0,No sobrevivió
40,1,3,"Nicola-Yarred, Miss. Jamila",Mujer,14.0,1,0,11.2417,Cherbourg,0,Sobrevivió
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mujer,40.0,1,0,9.475,Southampton,0,No sobrevivió
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mujer,27.0,1,0,21.0,Southampton,0,No sobrevivió
43,0,3,"Kraeff, Mr. Theodor",Hombre,25.0,0,0,7.8958,Cherbourg,0,No sobrevivió
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",Mujer,3.0,1,2,41.5792,Cherbourg,0,Sobrevivió
45,1,3,"Devaney, Miss. Margaret Delia",Mujer,19.0,0,0,7.8792,Queenstown,0,Sobrevivió
46,0,3,"Rogers, Mr. William John",Hombre,25.0,0,0,8.05,Southampton,0,No sobrevivió
47,0,3,"Lennon, Mr. Denis",Hombre,25.0,1,0,15.5,Queenstown,0,No sobrevivió
48,1,3,"O'Driscoll, Miss. Bridget",Mujer,21.5,0,0,7.75,Queenstown,0,Sobrevivió
49,0,3,"Samaan, Mr. Youssef",Hombre,25.0,2,0,21.6792,Cherbourg,0,No sobrevivió
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mujer,18.0,1,0,17.8,Southampton,0,No sobrevivió
51,0,3,"Panula, Master. Juha Niilo",Hombre,7.0,4,1,39.6875,Southampton,0,No sobrevivió
52,0,3,"Nosworthy, Mr. Richard Cater",Hombre,21.0,0,0,7.8,Southampton,0,No sobrevivió
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mujer,49.0,1,0,76.7292,Cherbourg,1,Sobrevivió
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mujer,29.0,1,0,26.0,Southampton,0,Sobrevivió
55,0,1,"Ostby, Mr. Engelhart Cornelius",Hombre,65.0,0,1,61.9792,Cherbourg,1,No sobrevivió
56,1,1,"Woolner, Mr. Hugh",Hombre,40.0,0,0,35.5,Southampton,1,Sobrevivió
57,1,2,"Rugg, Miss. Emily",Mujer,21.0,0,0,10.5,Southampton,0,Sobrevivió
58,0,3,"Novel, Mr. Mansouer",Hombre,28.5,0,0,7.2292,Cherbourg,0,No sobrevivió
59,1,2,"West, Miss. Constance Mirium",Mujer,5.0,1,2,27.75,Southampton,0,Sobrevivió
60,0,3,"Goodwin, Master. William Frederick",Hombre,11.0,5,2,46.9,Southampton,0,No sobrevivió
61,0,3,"Sirayanian, Mr. Orsen",Hombre,22.0,0,0,7.2292,Cherbourg,0,No sobrevivió
62,1,1,"Icard, Miss. Amelie",Mujer,38.0,0,0,80.0,Southampton,1,Sobrevivió
63,0,1,"Harris, Mr. Henry Birkhardt",Hombre,45.0,1,0,83.475,Southampton,1,No sobrevivió
64,0,3,"Skoog, Master. Harald",Hombre,4.0,3,2,27.9,Southampton,0,No sobrevivió
65,0,1,"Stewart, Mr. Albert A",Hombre,40.0,0,0,27.7208,Cherbourg,0,No sobrevivió
66,1,3,"Moubarek, Master. Gerios",Hombre,25.0,1,1,15.2458,Cherbourg,0,Sobrevivió
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",Mujer,29.0,0,0,10.5,Southampton,1,Sobrevivió
68,0,3,"Crease, Mr. Ernest James",Hombre,19.0,0,0,8.1583,Southampton,0,No sobrevivió
69,1,3,"Andersson, Miss. Erna Alexandra",Mujer,17.0,4,2,7.925,Southampton,0,Sobrevivió
70,0,3,"Kink, Mr. Vincenz",Hombre,26.0,2,0,8.6625,Southampton,0,No sobrevivió
71,0,2,"Jenkin, Mr. Stephen Curnow",Hombre,32.0,0,0,10.5,Southampton,0,No sobrevivió
72,0,3,"Goodwin, Miss. Lillian Amy",Mujer,16.0,5,2,46.9,Southampton,0,No sobrevivió
73,0,2,"Hood, Mr. Ambrose Jr",Hombre,21.0,0,0,73.5,Southampton,0,No sobrevivió
74,0,3,"Chronopoulos, Mr. Apostolos",Hombre,26.0,1,0,14.4542,Cherbourg,0,No sobrevivió
75,1,3,"Bing, Mr. Lee",Hombre,32.0,0,0,56.4958,Southampton,0,Sobrevivió
76,0,3,"Moen, Mr. Sigurd Hansen",Hombre,25.0,0,0,7.65,Southampton,1,No sobrevivió
77,0,3,"Staneff, Mr. Ivan",Hombre,25.0,0,0,7.8958,Southampton,0,No sobrevivió
78,0,3,"Moutal, Mr. Rahamin Haim",Hombre,25.0,0,0,8.05,Southampton,0,No sobrevivió
79,1,2,"Caldwell, Master. Alden Gates",Hombre,0.83,0,2,29.0,Southampton,0,Sobrevivió
80,1,3,"Dowdell, Miss. Elizabeth",Mujer,30.0,0,0,12.475,Southampton,0,Sobrevivió
81,0,3,"Waelens, Mr. Achille",Hombre,22.0,0,0,9.0,Southampton,0,No sobrevivió
82,1,3,"Sheerlinck, Mr. Jan Baptist",Hombre,29.0,0,0,9.5,Southampton,0,Sobrevivió
83,1,3,"McDermott, Miss. Brigdet Delia",Mujer,21.5,0,0,7.7875,Queenstown,0,Sobrevivió
84,0,1,"Carrau, Mr. Francisco M",Hombre,28.0,0,0,47.1,Southampton,0,No sobrevivió
85,1,2,"Ilett, Miss. Bertha",Mujer,17.0,0,0,10.5,Southampton,0,Sobrevivió
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Mujer,33.0,3,0,15.85,Southampton,0,Sobrevivió
87,0,3,"Ford, Mr. William Neal",Hombre,16.0,1,3,34.375,Southampton,0,No sobrevivió
88,0,3,"Slocovski, Mr. Selman Francis",Hombre,25.0,0,0,8.05,Southampton,0,No sobrevivió
89,1,1,"Fortune, Miss. Mabel Helen",Mujer,23.0,3,2,263.0,Southampton,1,Sobrevivió
90,0,3,"Celotti, Mr. Francesco",Hombre,24.0,0,0,8.05,Southampton,0,No sobrevivió
91,0,3,"Christmann, Mr. Emil",Hombre,29.0,0,0,8.05,Southampton,0,No sobrevivió
92,0,3,"Andreasson, Mr. Paul Edvin",Hombre,20.0,0,0,7.8542,Southampton,0,No sobrevivió
93,0,1,"Chaffee, Mr. Herbert Fuller",Hombre,46.0,1,0,61.175,Southampton,1,No sobrevivió
94,0,3,"Dean, Mr. Bertram Frank",Hombre,26.0,1,2,20.575,Southampton,0,No sobrevivió
95,0,3,"Coxon, Mr. Daniel",Hombre,59.0,0,0,7.25,Southampton,0,No sobrevivió
96,0,3,"Shorney, Mr. Charles Joseph",Hombre,25.0,0,0,8.05,Southampton,0,No sobrevivió
97,0,1,"Goldschmidt, Mr. George B",Hombre,71.0,0,0,34.6542,Cherbourg,1,No sobrevivió
98,1,1,"Greenfield, Mr. William Bertram",Hombre,23.0,0,1,63.3583,Cherbourg,1,Sobrevivió
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",Mujer,34.0,0,1,23.0,Southampton,0,Sobrevivió
100,0,2,"Kantor, Mr. Sinai",Hombre,34.0,1,0,26.0,Southampton,0,No sobrevivió
101,0,3,"Petranec, Miss. Matilda",Mujer,28.0,0,0,7.8958,Southampton,0,No sobrevivió
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",Hombre,25.0,0,0,7.8958,Southampton,0,No sobrevivió
103,0,1,"White, Mr. Richard Frasar",Hombre,21.0,0,1,77.2875,Southampton,1,No sobrevivió
104,0,3,"Johansson, Mr. Gustaf Joel",Hombre,33.0,0,0,8.6542,Southampton,0,No sobrevivió
105,0,3,"Gustafsson, Mr. Anders Vilhelm",Hombre,37.0,2,0,7.925,Southampton,0,No sobrevivió
106,0,3,"Mionoff, Mr. Stoytcho",Hombre,28.0,0,0,7.8958,Southampton,0,No sobrevivió
107,1,3,"Salkjelsvik, Miss. Anna Kristine",Mujer,21.0,0,0,7.65,Southampton,0,Sobrevivió
108,1,3,"Moss, Mr. Albert Johan",Hombre,25.0,0,0,7.775,Southampton,0,Sobrevivió
109,0,3,"Rekic, Mr. Tido",Hombre,38.0,0,0,7.8958,Southampton,0,No sobrevivió
110,1,3,"Moran, Miss. Bertha",Mujer,21.5,1,0,24.15,Queenstown,0,Sobrevivió
111,0,1,"Porter, Mr. Walter Chamberlain",Hombre,47.0,0,0,52.0,Southampton,1,No sobrevivió
112,0,3,"Zabour, Miss. Hileni",Mujer,14.5,1,0,14.4542,Cherbourg,0,No sobrevivió
113,0,3,"Barton, Mr. David John",Hombre,22.0,0,0,8.05,Southampton,0,No sobrevivió
114,0,3,"Jussila, Miss. Katriina",Mujer,20.0,1,0,9.825,Southampton,0,No sobrevivió
115,0,3,"Attalah, Miss. Malake",Mujer,17.0,0,0,14.4583,Cherbourg,0,No sobrevivió
116,0,3,"Pekoniemi, Mr. Edvard",Hombre,21.0,0,0,7.925,Southampton,0,No sobrevivió
117,0,3,"Connors, Mr. Patrick",Hombre,70.5,0,0,7.75,Queenstown,0,No sobrevivió
118,0,2,"Turpin, Mr. William John Robert",Hombre,29.0,1,0,21.0,Southampton,0,No sobrevivió
119,0,1,"Baxter, Mr. Quigg Edmond",Hombre,24.0,0,1,247.5208,Cherbourg,1,No sobrevivió
120,0,3,"Andersson, Miss. Ellis Anna Maria",Mujer,2.0,4,2,31.275,Southampton,0,No sobrevivió
121,0,2,"Hickman, Mr. Stanley George",Hombre,21.0,2,0,73.5,Southampton,0,No sobrevivió
122,0,3,"Moore, Mr. Leonard Charles",Hombre,25.0,0,0,8.05,Southampton,0,No sobrevivió
123,0,2,"Nasser, Mr. Nicholas",Hombre,32.5,1,0,30.0708,Cherbourg,0,No sobrevivió
124,1,2,"Webber, Miss. Susan",Mujer,32.5,0,0,13.0,Southampton,1,Sobrevivió
125,0,1,"White, Mr. Percival Wayland",Hombre,54.0,0,1,77.2875,Southampton,1,No sobrevivió
126,1,3,"Nicola-Yarred, Master. Elias",Hombre,12.0,1,0,11.2417,Cherbourg,0,Sobrevivió
127,0,3,"McMahon, Mr. Martin",Hombre,25.0,0,0,7.75,Queenstown,0,No sobrevivió
128,1,3,"Madsen, Mr. Fridtjof Arne",Hombre,24.0,0,0,7.1417,Southampton,0,Sobrevivió
129,1,3,"Peter, Miss. Anna",Mujer,21.5,1,1,22.3583,Cherbourg,1,Sobrevivió
130,0,3,"Ekstrom, Mr. Johan",Hombre,45.0,0,0,6.975,Southampton,0,No sobrevivió
131,0,3,"Drazenoic, Mr. Jozef",Hombre,33.0,0,0,7.8958,Cherbourg,0,No sobrevivió
132,0,3,"Coelho, Mr. Domingos Fernandeo",Hombre,20.0,0,0,7.05,Southampton,0,No sobrevivió
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",Mujer,47.0,1,0,14.5,Southampton,0,No sobrevivió
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mujer,29.0,1,0,26.0,Southampton,0,Sobrevivió
135,0,2,"Sobey, Mr. Samuel James Hayden",Hombre,25.0,0,0,13.0,Southampton,0,No sobrevivió
136,0,2,"Richard, Mr. Emile",Hombre,23.0,0,0,15.0458,Cherbourg,0,No sobrevivió
137,1,1,"Newsom, Miss. Helen Monypeny",Mujer,19.0,0,2,26.2833,Southampton,1,Sobrevivió
138,0,1,"Futrelle, Mr. Jacques Heath",Hombre,37.0,1,0,53.1,Southampton,1,No sobrevivió
139,0,3,"Osen, Mr. Olaf Elon",Hombre,16.0,0,0,9.2167,Southampton,0,No sobrevivió
140,0,1,"Giglio, Mr. Victor",Hombre,24.0,0,0,79.2,Cherbourg,1,No sobrevivió
141,0,3,"Boulos, Mrs. Joseph (Sultana)",Mujer,21.5,0,2,15.2458,Cherbourg,0,No sobrevivió
142,1,3,"Nysten, Miss. Anna Sofia",Mujer,22.0,0,0,7.75,Southampton,0,Sobrevivió
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Mujer,24.0,1,0,15.85,Southampton,0,Sobrevivió
144,0,3,"Burke, Mr. Jeremiah",Hombre,19.0,0,0,6.75,Queenstown,0,No sobrevivió
145,0,2,"Andrew, Mr. Edgardo Samuel",Hombre,18.0,0,0,11.5,Southampton,0,No sobrevivió
146,0,2,"Nicholls, Mr. Joseph Charles",Hombre,19.0,1,1,36.75,Southampton,0,No sobrevivió
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",Hombre,27.0,0,0,7.7958,Southampton,0,Sobrevivió
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",Mujer,9.0,2,2,34.375,Southampton,0,No sobrevivió
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",Hombre,36.5,0,2,26.0,Southampton,1,No sobrevivió
150,0,2,"Byles, Rev. Thomas Roussel Davids",Hombre,42.0,0,0,13.0,Southampton,0,No sobrevivió
151,0,2,"Bateman, Rev. Robert James",Hombre,51.0,0,0,12.525,Southampton,0,No sobrevivió
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",Mujer,22.0,1,0,66.6,Southampton,1,Sobrevivió
153,0,3,"Meo, Mr. Alfonzo",Hombre,55.5,0,0,8.05,Southampton,0,No sobrevivió
154,0,3,"van Billiard, Mr. Austin Blyler",Hombre,40.5,0,2,14.5,Southampton,0,No sobrevivió
155,0,3,"Olsen, Mr. Ole Martin",Hombre,25.0,0,0,7.3125,Southampton,0,No sobrevivió
156,0,1,"Williams, Mr. Charles Duane",Hombre,51.0,0,1,61.3792,Cherbourg,0,No sobrevivió
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",Mujer,16.0,0,0,7.7333,Queenstown,0,Sobrevivió
158,0,3,"Corn, Mr. Harry",Hombre,30.0,0,0,8.05,Southampton,0,No sobrevivió
159,0,3,"Smiljanic, Mr. Mile",Hombre,25.0,0,0,8.6625,Southampton,0,No sobrevivió
160,0,3,"Sage, Master. Thomas Henry",Hombre,25.0,8,2,69.55,Southampton,0,No sobrevivió
161,0,3,"Cribb, Mr. John Hatfield",Hombre,44.0,0,1,16.1,Southampton,0,No sobrevivió
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mujer,40.0,0,0,15.75,Southampton,0,Sobrevivió
163,0,3,"Bengtsson, Mr. John Viktor",Hombre,26.0,0,0,7.775,Southampton,0,No sobrevivió
164,0,3,"Calic, Mr. Jovo",Hombre,17.0,0,0,8.6625,Southampton,0,No sobrevivió
165,0,3,"Panula, Master. Eino Viljami",Hombre,1.0,4,1,39.6875,Southampton,0,No sobrevivió
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",Hombre,9.0,0,2,20.525,Southampton,0,Sobrevivió
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",Mujer,35.0,0,1,55.0,Southampton,1,Sobrevivió
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Mujer,45.0,1,4,27.9,Southampton,0,No sobrevivió
169,0,1,"Baumann, Mr. John D",Hombre,40.0,0,0,25.925,Southampton,0,No sobrevivió
170,0,3,"Ling, Mr. Lee",Hombre,28.0,0,0,56.4958,Southampton,0,No sobrevivió
171,0,1,"Van der hoef, Mr. Wyckoff",Hombre,61.0,0,0,33.5,Southampton,1,No sobrevivió
172,0,3,"Rice, Master. Arthur",Hombre,4.0,4,1,29.125,Queenstown,0,No sobrevivió
173,1,3,"Johnson, Miss. Eleanor Ileen",Mujer,1.0,1,1,11.1333,Southampton,0,Sobrevivió
174,0,3,"Sivola, Mr. Antti Wilhelm",Hombre,21.0,0,0,7.925,Southampton,0,No sobrevivió
175,0,1,"Smith, Mr. James Clinch",Hombre,56.0,0,0,30.6958,Cherbourg,1,No sobrevivió
176,0,3,"Klasen, Mr. Klas Albin",Hombre,18.0,1,1,7.8542,Southampton,0,No sobrevivió
177,0,3,"Lefebre, Master. Henry Forbes",Hombre,25.0,3,1,25.4667,Southampton,0,No sobrevivió
178,0,1,"Isham, Miss. Ann Elizabeth",Mujer,50.0,0,0,28.7125,Cherbourg,1,No sobrevivió
179,0,2,"Hale, Mr. Reginald",Hombre,30.0,0,0,13.0,Southampton,0,No sobrevivió
180,0,3,"Leonard, Mr. Lionel",Hombre,36.0,0,0,0.0,Southampton,0,No sobrevivió
181,0,3,"Sage, Miss. Constance Gladys",Mujer,21.5,8,2,69.55,Southampton,0,No sobrevivió
182,0,2,"Pernot, Mr. Rene",Hombre,30.0,0,0,15.05,Cherbourg,0,No sobrevivió
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",Hombre,9.0,4,2,31.3875,Southampton,0,No sobrevivió
184,1,2,"Becker, Master. Richard F",Hombre,1.0,2,1,39.0,Southampton,1,Sobrevivió
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",Mujer,4.0,0,2,22.025,Southampton,0,Sobrevivió
186,0,1,"Rood, Mr. Hugh Roscoe",Hombre,40.0,0,0,50.0,Southampton,1,No sobrevivió
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Mujer,21.5,1,0,15.5,Queenstown,0,Sobrevivió
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Hombre,45.0,0,0,26.55,Southampton,0,Sobrevivió
189,0,3,"Bourke, Mr. John",Hombre,40.0,1,1,15.5,Queenstown,0,No sobrevivió
190,0,3,"Turcin, Mr. Stjepan",Hombre,36.0,0,0,7.8958,Southampton,0,No sobrevivió
191,1,2,"Pinsky, Mrs. (Rosa)",Mujer,32.0,0,0,13.0,Southampton,0,Sobrevivió
192,0,2,"Carbines, Mr. William",Hombre,19.0,0,0,13.0,Southampton,0,No sobrevivió
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",Mujer,19.0,1,0,7.8542,Southampton,0,Sobrevivió
194,1,2,"Navratil, Master. Michel M",Hombre,3.0,1,1,26.0,Southampton,1,Sobrevivió
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",Mujer,44.0,0,0,27.7208,Cherbourg,1,Sobrevivió
196,1,1,"Lurette, Miss. Elise",Mujer,58.0,0,0,146.5208,Cherbourg,1,Sobrevivió
197,0,3,"Mernagh, Mr. Robert",Hombre,25.0,0,0,7.75,Queenstown,0,No sobrevivió
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",Hombre,42.0,0,1,8.4042,Southampton,0,No sobrevivió
199,1,3,"Madigan, Miss. Margaret ""Maggie""",Mujer,21.5,0,0,7.75,Queenstown,0,Sobrevivió
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Mujer,24.0,0,0,13.0,Southampton,0,No sobrevivió
201,0,3,"Vande Walle, Mr. Nestor Cyriel",Hombre,28.0,0,0,9.5,Southampton,0,No sobrevivió
202,0,3,"Sage, Mr. Frederick",Hombre,25.0,8,2,69.55,Southampton,0,No sobrevivió
203,0,3,"Johanson, Mr. Jakob Alfred",Hombre,34.0,0,0,6.4958,Southampton,0,No sobrevivió
204,0,3,"Youseff, Mr. Gerious",Hombre,45.5,0,0,7.225,Cherbourg,0,No sobrevivió
205,1,3,"Cohen, Mr. Gurshon ""Gus""",Hombre,18.0,0,0,8.05,Southampton,0,Sobrevivió
206,0,3,"Strom, Miss. Telma Matilda",Mujer,2.0,0,1,10.4625,Southampton,1,No sobrevivió
207,0,3,"Backstrom, Mr. Karl Alfred",Hombre,32.0,1,0,15.85,Southampton,0,No sobrevivió
208,1,3,"Albimona, Mr. Nassef Cassem",Hombre,26.0,0,0,18.7875,Cherbourg,0,Sobrevivió
209,1,3,"Carr, Miss. Helen ""Ellen""",Mujer,16.0,0,0,7.75,Queenstown,0,Sobrevivió
210,1,1,"Blank, Mr. Henry",Hombre,40.0,0,0,31.0,Cherbourg,1,Sobrevivió
211,0,3,"Ali, Mr. Ahmed",Hombre,24.0,0,0,7.05,Southampton,0,No sobrevivió
212,1,2,"Cameron, Miss. Clear Annie",Mujer,35.0,0,0,21.0,Southampton,0,Sobrevivió
213,0,3,"Perkin, Mr. John Henry",Hombre,22.0,0,0,7.25,Southampton,0,No sobrevivió
214,0,2,"Givard, Mr. Hans Kristensen",Hombre,30.0,0,0,13.0,Southampton,0,No sobrevivió
215,0,3,"Kiernan, Mr. Philip",Hombre,25.0,1,0,7.75,Queenstown,0,No sobrevivió
216,1,1,"Newell, Miss. Madeleine",Mujer,31.0,1,0,113.275,Cherbourg,1,Sobrevivió
217,1,3,"Honkanen, Miss. Eliina",Mujer,27.0,0,0,7.925,Southampton,0,Sobrevivió
218,0,2,"Jacobsohn, Mr. Sidney Samuel",Hombre,42.0,1,0,27.0,Southampton,0,No sobrevivió
219,1,1,"Bazzani, Miss. Albina",Mujer,32.0,0,0,76.2917,Cherbourg,1,Sobrevivió
220,0,2,"Harris, Mr. Walter",Hombre,30.0,0,0,10.5,Southampton,0,No sobrevivió
221,1,3,"Sunderland, Mr. Victor Francis",Hombre,16.0,0,0,8.05,Southampton,0,Sobrevivió
222,0,2,"Bracken, Mr. James H",Hombre,27.0,0,0,13.0,Southampton,0,No sobrevivió
223,0,3,"Green, Mr. George Henry",Hombre,51.0,0,0,8.05,Southampton,0,No sobrevivió
224,0,3,"Nenkoff, Mr. Christo",Hombre,25.0,0,0,7.8958,Southampton,0,No sobrevivió
225,1,1,"Hoyt, Mr. Frederick Maxfield",Hombre,38.0,1,0,90.0,Southampton,1,Sobrevivió
226,0,3,"Berglund, Mr. Karl Ivar Sven",Hombre,22.0,0,0,9.35,Southampton,0,No sobrevivió
227,1,2,"Mellors, Mr. William John",Hombre,19.0,0,0,10.5,Southampton,0,Sobrevivió
228,0,3,"Lovell, Mr. John Hall (""Henry"")",Hombre,20.5,0,0,7.25,Southampton,0,No sobrevivió
229,0,2,"Fahlstrom, Mr. Arne Jonas",Hombre,18.0,0,0,13.0,Southampton,0,No sobrevivió
230,0,3,"Lefebre, Miss. Mathilde",Mujer,21.5,3,1,25.4667,Southampton,0,No sobrevivió
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Mujer,35.0,1,0,83.475,Southampton,1,Sobrevivió
232,0,3,"Larsson, Mr. Bengt Edvin",Hombre,29.0,0,0,7.775,Southampton,0,No sobrevivió
233,0,2,"Sjostedt, Mr. Ernst Adolf",Hombre,59.0,0,0,13.5,Southampton,0,No sobrevivió
234,1,3,"Asplund, Miss. Lillian Gertrud",Mujer,5.0,4,2,31.3875,Southampton,0,Sobrevivió
235,0,2,"Leyson, Mr. Robert William Norman",Hombre,24.0,0,0,10.5,Southampton,0,No sobrevivió
236,0,3,"Harknett, Miss. Alice Phoebe",Mujer,21.5,0,0,7.55,Southampton,0,No sobrevivió
237,0,2,"Hold, Mr. Stephen",Hombre,44.0,1,0,26.0,Southampton,0,No sobrevivió
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",Mujer,8.0,0,2,26.25,Southampton,0,Sobrevivió
239,0,2,"Pengelly, Mr. Frederick William",Hombre,19.0,0,0,10.5,Southampton,0,No sobrevivió
240,0,2,"Hunt, Mr. George Henry",Hombre,33.0,0,0,12.275,Southampton,0,No sobrevivió
241,0,3,"Zabour, Miss. Thamine",Mujer,21.5,1,0,14.4542,Cherbourg,0,No sobrevivió
